run,lr,gamma,ent,n_steps,batch,n_epochs,clip,gae,net,mean_reward,std_reward
1,0.0003,0.99,0.01,512,64,10,0.2,0.95,"[64, 64]",259.83,41.424
2,0.0001,0.99,0.05,1024,128,5,0.2,0.95,"[128, 128]",265.48,7.515
3,0.0005,0.95,0.01,256,64,10,0.1,0.9,"[64, 64]",275.11,8.945
4,0.0003,0.98,0.1,2048,256,20,0.3,0.98,"[256, 128]",273.19,7.724
5,0.0007,0.99,0.02,512,128,10,0.2,0.95,"[128, 64]",273.39,10.908
6,0.001,0.9,0.0,128,32,5,0.2,0.8,"[64, 64]",276.51,9.795
7,0.0002,0.99,0.05,1024,64,15,0.15,0.95,"[256, 256]",275.91,11.058
8,0.0005,0.97,0.02,512,128,10,0.25,0.92,"[128, 128, 64]",274.6,9.877
9,0.0001,0.99,0.001,2048,256,10,0.2,0.99,"[512, 256]",263.545,7.758
10,0.0004,0.98,0.03,1024,128,12,0.2,0.95,"[256, 128, 64]",270.205,10.115
